Company Name,Domain,Industry,Location,Headcount,Linkedin,Description,Company Type,Tags
Metalogonde,metalogonde.com,Mechanical or Industrial Engineering,Brazil,51-200,https://www.linkedin.com/company/metalogonde,Metalogonde is a machinery manufacturing company that specializes in innovative bulk handling technology supported by a strong internal engineering department.,privately held,""
I.T. Technologies,ittechnologies.it,Automation Machinery Manufacturing,"Modena, Italy",11-50,https://www.linkedin.com/company/i.t.technologies-srl,I.T. Technologies is an industrial automation company that designs and implements electrical/electronic software for industrial automation systems across various sectors.,partnership,""
Sicol Technology Pte Ltd,sicol.com.sg,,,,,"Sicol Technology Pte is a Factory Automation company that provides a comprehensive range of products including logistics solution systems, industrial automation production equipment, image detection technology, precision test equipment, and sourcing services.",,""
EDM TECH CENTER,edmtechcenter.com,Machinery Manufacturing,"Minneapolis, Minnesota, United States",1-10,https://www.linkedin.com/company/edm-tech-center,EDM Tech Center is a machinery company that specializes in industrial equipment and manufacturing technology.,self owned,""
Forgeweld Engineering,forgeweld.com,Industrial Machinery Manufacturing,South Africa,201-500,https://www.linkedin.com/company/forgeweld-engineering-pty-ltd,Forgeweld Engineering is a metal fabrication company that specializes in welding and industrial construction.,public company,""
NextGen Automation Pvt,ngapl.com,"Appliances, Electrical, and Electronics Manufacturing","Kolkata, India",11-50,https://www.linkedin.com/company/nextgen-automation-private-limited,NextGen Automation Pvt is an electrical/electronic manufacturing company that specializes in automation and engineering.,,""
Ls-Verktyg,lsverktyg.se,Construction,"Jönköping, Sweden",,https://www.linkedin.com/company/ls-verktyg,"Verktyg is a manufacturing company that specializes in fixtures, automation, tools production, and toolmaking services from start to finish.",,""
Elezer Automation,elezerautomation.in,Retail,"Dehu, India",,https://www.linkedin.com/company/elezer-automation.-all,"Elezer Automation is a company in the Automation & Engineering Industry that provides complete solutions for control panels including engineering, manufacturing, installation & commissioning for various industries like Automotive, Process, and Material.",,""
SVL Corporation,svl.co.th,"Transportation, Logistics, Supply Chain and Storage",Thailand,501-1000,https://www.linkedin.com/company/svl-corporation,SVL Group Thailand is an industrial solutions provider specializing in automation technology and engineering services for the manufacturing sector.,privately held,""
Simgetek,simgetek.com,Oil and Gas,"Adana, Türkiye",201-500,https://www.linkedin.com/company/simetek-i%cc%87malat-ve-m%c3%bchendislik-a-%c5%9f,Simgetek İmalat ve Mühendislik A.Ş is a manufacturing and engineering company that specializes in industrial equipment and automation.,privately held,""
Schwarz & Sprenger,schwarz-sprenger.de,Design,"Munich, Germany",11-50,https://www.linkedin.com/company/schwarz-%26-sprenger,"Schwarz & Sprenger is a manufacturing company that specializes in industrial equipment, automation, and engineering solutions.",,""
Apex Power & Automation,apexpower.ca,Construction,"Lethbridge, Canada",11-50,https://www.linkedin.com/company/apex-power-%26-automation,"Apex Power & Automation is an Electrical & Automation Contractor that provides turnkey solutions from custom designed engineered specs to installation, training, and maintenance.",privately held,""
"IMA 1, S.L.",ima1.com,Motor Vehicle Manufacturing,"Burgos, Spain",201-500,https://www.linkedin.com/company/ima1,"IMA 1, S.L is a manufacturing company that specializes in industrial machinery, automation, and engineering services.",privately held,""
Comau,comau.com.cn,Automation Machinery Manufacturing,"Grugliasco, Italy",1001-5000,https://www.linkedin.com/company/comau,Comau is a manufacturing company that specializes in industrial automation and robotics solutions.,privately held,""
PRECISAO,factorprecisao.com.br,,,,https://www.linkedin.com/company/precisao,PRECISAO is a Precision Engineering company that specializes in manufacturing industrial solutions with a focus on automation.,,""
W-S Industrial,w-sindustrial.com,Environmental Services,"Council Bluffs, Iowa, United States",201-500,https://www.linkedin.com/company/w-scompanies,"W-S Industrial is an industrial services company that provides manufacturing solutions, equipment maintenance, and industrial automation.",privately held,""
Inasec.be,inasec.be,Industrial Automation,"Jupille-sur-Meuse, Belgium",1-10,https://www.linkedin.com/company/inasec-sprl,"Inasec SPRL is an industrial automation company specializing in commissioning services with a wide range of expertise in different suppliers (Siemens, Rockwell, etc.) and industries (metallurgy, wastewater treatment, pharmaceuticals, cement, etc.).",privately held,""
HMS Makina,hmsmakina.com.tr,Aviation and Aerospace Component Manufacturing,"Manisa, Türkiye",201-500,https://www.linkedin.com/company/hms-makina-sanayi,"HMS Makina is a manufacturing company that specializes in industrial machinery, engineering, and automation.",partnership,""
VISC,machines.com.vn,Industrial Automation,"Hanoi, Vietnam",51-200,https://www.linkedin.com/company/visc-d%e1%bb%8bch-v%e1%bb%a5-v%c3%a0-gi%e1%ba%a3i-ph%c3%a1p-c%c3%b4ng-nghi%e1%bb%87p-vi%e1%bb%87t-nam,"VISC Dịch vụ và Giải pháp công nghiệp Việt Nam is a company in the industrial services sector that specializes in supplying a variety of industrial machines, consumables, and automation solutions.",public company,""
Gnosys,gnosys.cz,,,,,Gnosys is a technology company that offers products utilizing National Instruments and Arduino platform for automation and electronics.,,""
Universal Technology,univtech.com,Telecommunications,"Huntsville, Alabama, United States",1-10,https://www.linkedin.com/company/universal-technology-systems,Universal Technology is a technology solutions provider that offers standard or custom automated solutions utilizing industry-proven components to minimize technical risk and maximize system reliability.,,""
Npr solutions pvt,nprsolutions.in,Automation Machinery Manufacturing,"Ghāziābād, India",11-50,https://www.linkedin.com/company/npr-solutions-pvt-ltd,NPR Solution is an Engineering Company that focuses on providing value-added Industrial Automation and engineering solutions by partnering with world-renowned companies.,partnership,""
Torque Robotics & Solutions,torquerobotics.in,Industrial Automation,"Gurgaon, India",51-200,https://www.linkedin.com/company/torquerobotics,Torque Robotics & Solutions is a robotics company that specializes in providing automation and engineering solutions.,partnership,""
Automation Systems,automationsystems.it,,,,,Automation Systems is a company specializing in graphic machinery technology with a team of specialized technicians.,,""
Buffalo Gap Instrumentation and Electrical Co.,bgie.net,Oil and Gas,"United States, Texas",201-500,https://www.linkedin.com/company/buffalo-gap-instrumentation-and-electrical-co-inc,"BUFFALO GAP INSTRUMENTAL & ELECTRICAL is an engineering company that provides instrumentation, electrical, and automation solutions for industrial clients.",privately held,""
JDL Technical Services,jdltech.ca,Plastics Manufacturing,Canada,1-10,https://www.linkedin.com/company/jdl-technical-services,"JDL Technical Services is a software company that offers ToolQuote, an interactive quoting software designed for injection & die cast molds, enabling mold makers to automate and organize their quoting system.",privately held,""
SEDIMA GmbH,sedima-berlin.de,,,,,SEDIMA GmbH is a company that provides expert support for all aspects of automation in industrial and building technology.,,""
Assatec,assatec.co.il,Automation Machinery Manufacturing,"Nahariyya, Israel",11-50,https://www.linkedin.com/company/assatec,Assatec is a robotics and automation company that specializes in the integration of robotic technologies in industrial settings.,partnership,""
FlamePro Oy,flamepro.fi,,,,,FlamePro Oy is an electrical and automation company specializing in technology integration for industrial systems.,,""
Specialized Equipment Systems,ses-trans.com,Truck Transportation,"Montclair, California, United States",1-10,https://www.linkedin.com/company/specialized-equipment-systems,Specialized Equipment Systems is a provider of industrial automation technology and equipment systems.,,""
SEW Eurodrive Argentina S.A.,sew-eurodrive.com.ar,Industrial Automation,"Buenos Aires, Argentina",51-200,https://www.linkedin.com/company/sew-eurodrive-argentina-s-a-,SEW Eurodrive Argentina S.A is an industrial automation company that specializes in drive technology solutions.,privately held,""
AWL Automation,awl.us,Automation Machinery Manufacturing,"Spartanburg, South Carolina, United States",201-500,https://www.linkedin.com/company/awl-automation,"AWL Automation is a provider of industrial automation and robotics solutions, specializing in manufacturing and engineering services.",,""
青岛海兴智能装备有限公司 ICP 备案号： 鲁ICP备号,hishing.com,Retail Apparel and Fashion,China,,https://www.linkedin.com/company/%e9%9d%92%e5%b2%9b%e6%b5%b7%e5%85%b4%e6%99%ba%e8%83%bd%e8%a3%85%e5%a4%87%e6%9c%89%e9%99%90%e5%85%ac%e5%8f%b8,青岛海兴智能装备有限公司 is a manufacturing company that specializes in intelligent equipment and automation technology.,,""
Novamel,novamel.tn,"Appliances, Electrical, and Electronics Manufacturing","Nabeul, Tunisia",201-500,https://www.linkedin.com/company/novamel,"Novamel is a manufacturing company that specializes in industrial equipment, engineering, automation, and technology.",privately held,""
Fast Automation,fast-automation.com,Automation Machinery Manufacturing,"Macquarie Park, Australia",11-50,https://www.linkedin.com/company/fast-automation,Fast Automation is an Automation Solutions provider specializing in executing challenging automation projects worldwide.,privately held,""
Callan Scientific,callanscientific.ie,Automation Machinery Manufacturing,"Shannon, Ireland",1-10,https://www.linkedin.com/company/callan-scientific-ltd,"Callan Scientific is a company that provides high quality automation components for machines, offering customized solutions engineered by experienced engineers.",privately held,""
Cubica Industrial,cubicaindustrial.com,Business Consulting and Services,"San Francisco de los Romo, Mexico",11-50,https://www.linkedin.com/company/cubicaindustrial,Cubica Industrial is an Industrial Manufacturing company that specializes in providing factory equipment and production solutions.,self owned,""
Merrid Controls Sp. z o.o.,merrid.com.pl,IT Services and IT Consulting,"Łódź, Poland",51-200,https://www.linkedin.com/company/merridcontrols,"Merrid Controls Sp. z o.o is a company that specializes in designing and implementing modern, comprehensive automation and IT systems for various industrial sectors.",privately held,""
TBS Technology & Business Solutions,tbs-semi.ru,Semiconductor Manufacturing,Russian Federation,,https://www.linkedin.com/company/tbs-technology-%26-business-solutions,"TBS Technology 
& Business Solutions is a technology solutions company that offers equipment ranging from small installations for R&D to large modular systems for fully automated production.",,""
SEW-EURODRIVE Perú,sew-eurodrive.com.pe,,"30823, Center, United States",,https://www.linkedin.com/company/sew-del-peru,"SEW-EURODRIVE Perú is a company that specializes in providing drive technology, drive automation, services, and solutions for moving systems and machines.",,""
CPC Machines,cpcmachines.com,Motor Vehicle Manufacturing,"Lake Forest, California, United States",201-500,https://www.linkedin.com/company/cpc-machines,CPC Machines is a manufacturing company that specializes in industrial equipment for process control and automation.,privately held,""
Connect Storage Systems,connectstoragesystems.co.uk,"Transportation, Logistics, Supply Chain and Storage","Poole, United Kingdom",11-50,https://www.linkedin.com/company/connect-storage-systems,"Connect Storage Systems is a warehouse systems provider that specializes in the design, manufacture, and installation of innovative storage solutions tailored to meet diverse logistics needs.",public company,""
FABRICATING & WELDING CORPORATION,fabricatingandwelding.com,,"Chicago, Illinois, United States",1-10,https://www.linkedin.com/company/fabricating-%26-welding-corporation,FABRICATING & WELDING CORPORATION is a manufacturing company that specializes in plate and structural fabrication services from raw material to finished products.,,""
DIGIZYNE,digizyne.co.za,,,,,"DIGIZYNE is a provider of industrial machinery and automation equipment for various manufacturing needs including packaging, control systems, and chemical handling.",,""
IBD srl,ibdweb.it,Business Consulting and Services,"Rivoli, Italy",1-10,https://www.linkedin.com/company/ibd-srl,"ROLAND ELECTRONIC GmbH Otto is a company that offers high-tech products and systems in the Italian market for Automation, Robotics, Automotive, Metal Industry, and General Industry.",privately held,""
AMIAC Automatizaciones,amiac.es,Automation Machinery Manufacturing,"Arganda, Spain",11-50,https://www.linkedin.com/company/amiac-automatizaciones,"AMIAC Automatizaciones is a company specializing in the engineering and manufacturing of special and automated machinery, aiming to lead the market in technological industrialization.",privately held,""
Gertech Soluções Industriais,gertech.ind.br,Machinery Manufacturing,"Chapecó, Brazil",11-50,https://www.linkedin.com/company/gertech-solucoes,Gertech Soluções Industriais is a company that provides industrial solutions and automation services.,privately held,""
Biagi Saga,biagisaga.co.za,,,,,"Biagi Saga is a security technology company that specializes in high security concept development, design, fabrication, automation, and engineering.",,""
Robotmea,robotmea.com,Education Management,"Anantnag, India",11-50,https://www.linkedin.com/company/robotmea,Robotmea is a robotics company that provides automation and industrial solutions.,privately held,""
Maquintel‏‏‎ ‎,maquintel.com,Automation Machinery Manufacturing,"Santiago, Chile",11-50,https://www.linkedin.com/company/maquintelrobotics,"Maquintel is a robotics equipment manufacturing company that specializes in developing advanced robots for inspecting hard-to-reach places, enabling automation in the mining industry.",privately held,""
Torex USA,torex-usa.com,Semiconductor Manufacturing,"Irvine, California, United States",1001-5000,https://www.linkedin.com/company/torex-usa-corporation,Torex USA is a provider of industrial machinery and automation solutions.,public company,""
TSA,tsaengenharia.com.br,Engineering Services,Madagascar,501-1000,https://www.linkedin.com/company/tsaengenharia,TSA - Tecnologia de Sistemas de Automação S/A is an Engineering Technology company that specializes in industrial automation and control systems.,privately held,""
Simca Group,simcagroup.com,,,,,Simca Group is an industrial automation company that specializes in providing accessible and efficient solutions to the industry.,,""
ProgemaSrl,progemasrl.eu,,,,,"ProgemaSrl is a manufacturing company that specializes in the design and production of conveyor chains, transmission chains, and gears.",,""
PDS Automação,pdsautomacao.com.br,Automation Machinery Manufacturing,"São Caetano do Sul, Brazil",11-50,https://www.linkedin.com/company/pds-automa%c3%a7%c3%a3o-industrial,"PDS Automação Industrial is a company that offers industrial process automation solutions for various market segments, focusing on quality, efficiency, excellent service, and product supply.",privately held,""
Tecnomanutenzioni,tecnomanutenzioni.net,,"United States, Virginia",,https://www.linkedin.com/company/tecnomanutenzioni,Tecnomanutenzioni is a company that provides maintenance services for industrial machines and automation systems.,,""
CEFAST s,cefast.cz,Mechanical or Industrial Engineering,"Nehvizdy, Czechia",11-50,https://www.linkedin.com/company/cefast,CEFAST is an engineering company that specializes in manufacturing fasteners and has evolved into a trusted partner for global firms in the robotics and automation industry.,privately held,""
Netzhammer,netzhammer.ch,Automation Machinery Manufacturing,"Basel, Switzerland",11-50,https://www.linkedin.com/company/netzhammer-ag,"Netzhammer is a company that provides competent, sustainable, and future-oriented automation and IT solutions of the highest quality, spanning from small-scale control to large-scale automation.",self owned,""
Discher Automatisierungstechnik,discher-aut.de,Industrial Machinery Manufacturing,"Bad Wünnenberg, Germany",51-200,https://www.linkedin.com/company/discher-automatisierungstechnik-gmbh,"Discher Automatisierungstechnik is an automation technology company that specializes in high-quality robotics, custom machinery, and production systems.",public company,""
ECON Tech,econ-tech.com,Automation Machinery Manufacturing,"San Andrés Cholula, Mexico",51-200,https://www.linkedin.com/company/econ-tech,"ECON Tech is a technology solutions company that specializes in project development, engineering services, with a focus on automation, electrical systems, and information technology.",privately held,""
OPM  Machinery,opm-machinery.com,,"49090, US, United States",,,"OPM Machinery is a supplier of industrial machines and robotic automation systems with a broad product portfolio, offering solutions for a wide range of applications worldwide.",,""
Brazil Controls,brazilcontrols.com.br,Industrial Automation,"Campinas, Brazil",1-10,https://www.linkedin.com/company/brazilcontrols,"Brazil Controls is an engineering company that specializes in designing, assembling, and commissioning automation systems for hydroelectric power plants and various industries.",privately held,""
Onward Automation,onwardautomation.com,,"4591 County Rd, N0R1K0, Ontario, Canada",,,Onward Automation is a control solutions company that specializes in automation projects for machine builders in the industrial technology sector.,,""
Pixel Automation,pixel-automation.com.sg,Industrial Automation,"Singapore, Singapore",11-50,https://www.linkedin.com/company/pixel-automation-pte-ltd,"Pixel Automation Pte is an industrial automation company that specializes in building turnkey automation projects for a variety of industries including Semiconductor, Ink Filling, Packaging, Assembly, and Logistics.",privately held,""
Grupo Power Control Solutions,power-cs.net,Automation Machinery Manufacturing,"Lima, Peru",11-50,https://www.linkedin.com/company/grupo-power-control-solutions-s-a-c,"Grupo Power Control Solutions is an engineering firm that specializes in power, control, and automation solutions, aiming to be a strategic partner for machine enhancements and production line modernization.",privately held,""
Maruka México,marukamx.com,Machinery Manufacturing,"Monterrey, Mexico",201-500,https://www.linkedin.com/company/maruka-m%c3%a9xico,"Maruka Unique Solutions is a provider of industrial equipment, manufacturing solutions, automation tools, and engineering services.",public company,""
Astron,astron.by,IT Services and IT Consulting,"Minsk, Belarus",11-50,https://www.linkedin.com/company/astron-ltd-company,"Специализация is a system integrator that provides automation solutions for trade, manufacturing, and security systems through equipment and software.",privately held,""
ACS Engitech Pvt. Ltd.,acsengitech.com,Automation Machinery Manufacturing,"Ahmedabad, India",11-50,https://www.linkedin.com/company/acs-engitech-pvt-ltd,"ACS Engitech Pvt is a company in the Industrial Automation Industry that specializes in Machine Automation, Plant Automation, and Process Automation as an Authorised SIEMENS SYSTEM HOUSE.",partnership,""
Hexing Technology Indonesia,hexing.co.id,,,,,Hexing Technology Indonesia is a company that provides industrial solutions and manufacturing of electrical equipment with a focus on automation.,,""
Sinar Surya Sentosa Sejahtera,ssss.co.id,Commercial and Service Industry Machinery Manufacturing,"South Tangerang, Indonesia",51-200,https://www.linkedin.com/company/sinar-surya-sentosa-sejahtera-ssss,Sinar Surya Sentosa Sejahtera is a manufacturing company that specializes in producing conveyor systems of all specifications for industrial automation.,public company,""
Metaltork,metaltork.com.br,Motor Vehicle Parts Manufacturing,"Diadema, Brazil",201-500,https://www.linkedin.com/company/metaltork-ind-stria-e-com-rcio-de-auto-pe-as-ltda-,Metaltork is a manufacturing company that specializes in industrial equipment and automation solutions.,privately held,""
Jinhuali,sdjhl.com,"Appliances, Electrical, and Electronics Manufacturing","Foshan, China",201-500,https://www.linkedin.com/company/jinhuali,"Jinhuali is a manufacturing company that specializes in industrial equipment, machinery, and automation solutions.",self employed,""
Serdia,serdia.com.br,"Appliances, Electrical, and Electronics Manufacturing","Curitiba, Brazil",51-200,https://www.linkedin.com/company/serdia-eletr-nica-industrual,Serdia Eletrônica Industrial is a provider of industrial electronics and automation solutions.,privately held,""
IP Systems,ipsa.pl,,Poland,,,"IP Systems is a company specializing in industrial automation, offering comprehensive services from automation design and assembly to programming and full implementation.",,""
"JinBo Precision Mechanical Co., Ltd Technology",jinbo-china.com,Industrial Machinery Manufacturing,"Dongguan, China",51-200,https://www.linkedin.com/company/jinbo-mechanical-assembly,"JinBo Precision Mechanical Co., Ltd Technology is a CNC machining company that specializes in producing precision industrial parts for sectors such as Telecommunication, Automobile, Electronic devices, Medical equipment, and Automation and control.",,""
HL Welding Inc.,hlweldinginc.com,Staffing and Recruiting,"National City, California, United States",201-500,https://www.linkedin.com/company/hl-welding-inc-,HL Welding is a welding services company that specializes in metal fabrication and manufacturing.,privately held,""
M6 Revolutions,m6revolutions.com,Machinery Manufacturing,"United States, Washington",1-10,https://www.linkedin.com/company/m6-revolutions,"M6 Revolutions is a manufacturing company that focuses on providing process improvements, technical solutions, and automation with an emphasis on ergonomics and quality.",privately held,""
"Foshan GongHong Textile Machinery Co., Ltd",windermachine.com,Industrial Machinery Manufacturing,China,51-200,https://www.linkedin.com/company/gonghong-winder-machine,Foshan GongHong Textile Machinery Co is a textile machinery manufacturer that focuses on delivering innovative and high-quality solutions for the textile industry.,partnership,""
OPTIMO Robotics,optimo.ee,Automation Machinery Manufacturing,Estonia,1-10,https://www.linkedin.com/company/optimo-robotics,"OPTIMO Robotics is a company in the robotics industry that specializes in custom robotic solutions, industrial automation, and screw-driving technologies.",privately held,""
Exsensia,exsensia.ai,Software Development,"Milan, Italy",1-10,https://www.linkedin.com/company/exsensia,"Exsensia is a technology company that specializes in developing user-friendly software for programming industrial robotic systems, accessible even to users without prior expertise.",educational,""
Weld East Fabricators,weldeast.com.au,Industrial Machinery Manufacturing,Australia,51-200,https://www.linkedin.com/company/weld-east-fabricators,Machinery Parts is a metal fabrication company that specializes in designing and manufacturing custom metal products for the West Australian mining industry.,privately held,""
Tecnosald,tecnosald.com,,"United States, Missouri",,https://www.linkedin.com/company/tecnosald,Tecnosald is a company that specializes in the commercialization of welding equipment and materials for industrial applications.,,""
Eureka Automation,eurekaautomation.co.th,Automation Machinery Manufacturing,"Lam Luk Ka, Thailand",51-200,https://www.linkedin.com/company/eureka-automation-co.-ltd,Eureka Automation is an industrial automation company that provides technology and engineering solutions.,privately held,""
Vanderspoel,vanderspoel.nl,Automation Machinery Manufacturing,"Waspik, Netherlands",1-10,https://www.linkedin.com/company/van-der-spoel-meten-en-regelen-b-v,Vanderspoel is a company specialized in process automation.,privately held,""
Henan Ocean Intelligent Technology Co.,oceanhn.com,Import and Export,"Zhengzhou, China",201-500,https://www.linkedin.com/company/henan-ocean-intelligent-technology-co-ltd,Henan Ocean Intelligent Technology is a company that specializes in providing automation solutions and robotic systems for industrial machinery.,partnership,""
Torricelli,torricellimpianti.it,"Water, Waste, Steam, and Air Conditioning Services","Forlì, Italy",11-50,https://www.linkedin.com/company/torricelli,Torricelli is an industrial equipment company that provides engineering services and automation solutions for various industries.,privately held,""
"Sinobase Tech-Industrial Co., Ltd.",sinobase.com.cn,Business Consulting and Services,"Nanjing, China",201-500,https://www.linkedin.com/company/sinobase-tech-industrial-co.-ltd.,南京汉业科技实业有限公司 is a technology company that provides industrial solutions and equipment for the manufacturing sector.,,""
Dechangyu Paper Machinery,dechangyu.com,Machinery Manufacturing,"Foshan, China",201-500,https://www.linkedin.com/company/dechangyu-paper-machinery-manufacturing-co-ltd,Dechangyu Paper Machinery Manufacturing is a manufacturing company that specializes in the design and production of high-quality tissue converting machinery for customers worldwide.,privately held,""
Projektowanie i budowa maszyn,pm.gda.pl,,,,,Projektowanie i budowa maszyn is a company that specializes in designing and building industrial machinery to automate production processes.,,""
ABM Greiffenberger Polska Sp. z o.o.,abm-polska.pl,Machinery Manufacturing,"Lublin, Poland",201-500,https://www.linkedin.com/company/abm-greiffenberger-polska-sp-z-o-o,"ABM Greiffenberger Polska Sp. z o.o is a Mechanical Engineering company that specializes in providing industrial automation, power transmission, and manufacturing solutions.",privately held,""
Castro Industrial,castroindustrial.com.br,Construction,"Recife, Brazil",201-500,https://www.linkedin.com/company/castro-industrial,"Castro is an industrial manufacturing company that provides machinery, equipment, and industrial solutions with a focus on automation.",privately held,""
NowiTek,nowitek.dk,"Appliances, Electrical, and Electronics Manufacturing","Brønderslev, Denmark",1-10,https://www.linkedin.com/company/nowitek,NowiTek is an automation company that specializes in electrical and mechanical systems with expertise in automation projects.,partnership,""
Darsta,darsta.pl,,Poland,,,Darsta is a robotics manufacturing company specializing in laundry folding robots.,,""
Lartec GmbH,lartec-gmbh.de,Staffing and Recruiting,"Worms, Germany",201-500,https://www.linkedin.com/company/lartec-gmbh,Lartec GmbH is a manufacturing company that specializes in engineering industrial equipment with a focus on automation.,public company,""
TIMS Mexico,tekmartims.com,Plastics Manufacturing,"Chihuahua, Mexico",501-1000,https://www.linkedin.com/company/tims,TIMS Mexico is a technology services company specializing in industrial automation and manufacturing solutions.,public company,""
Ro-Matt International,ro-matt.com,Machinery Manufacturing,Canada,11-50,https://www.linkedin.com/company/ro-matt-international-inc.,"Ro-Matt International is a company specializing in the design and build of custom machinery, automation, and material handling systems with expertise in robotic welding, assembly systems, custom hydraulic cylinders, and piercing equipment.",self owned,""
DIAC,diac.lt,Automation Machinery Manufacturing,"Jonava, Lithuania",1-10,https://www.linkedin.com/company/design-of-industrial-automation-and-construction,"DIAC is an automation and engineering company that offers a full set of solutions from design to go-live, leveraging specialist knowledge in electronics, programming, and mechanical engineering.",privately held,""
AWI Company,awicompany.com,Media Production,"Dubai, United Arab Emirates",1001-5000,https://www.linkedin.com/company/awi-company,AWI Company is a manufacturing firm that specializes in industrial production and automation.,privately held,""
LAPP UK,lapplimited.com,Manufacturing,"Greenford, United Kingdom",51-200,https://www.linkedin.com/company/lapp-group-uk,"LAPP UK is a cable and connection technology company that provides innovative and high-quality cables, connectors, and fully integrated connection solutions for various industrial applications.",privately held,""
Mini Max,mini-max.biz,,Poland,,,Mini Max is a manufacturing company that specializes in producing industrial equipment with a focus on automation.,,""
RZ Automation,rzautomation.com,Robotics Engineering,"Noblesville, Indiana, United States",11-50,https://www.linkedin.com/company/rzautomation,RZ Automation is a provider of automation solutions specializing in applying advanced techniques to manufacturing processes.,privately held,""
Electro Control,electrocontrol.se,,,,https://www.linkedin.com/company/electro-control-ab,Electro Control is a provider of industrial automation solutions and control systems with expertise in manufacturing and industrial engineering.,,""
Aria Shimi Rayka,asrc.ir,Chemical Manufacturing,"Tehran, Iran",201-500,https://www.linkedin.com/company/aria-shimi-rayka,"Aria Shimi Rayka is an Industrial Automation company that provides robotics, manufacturing solutions, and engineering services.",privately held,""
Matthias Schwabe,ema-schwabe.de,,"Rodewisch, Germany",,https://www.linkedin.com/company/matthias-schwabe,"Matthias Schwabe is a company in the electrical engineering and welding technology industry with 40 years of expertise, offering services in repair and distribution at two locations in Sachsen.",,""
IMACO Products + Solutions GmbH,imaco-ps.de,Industrial Machinery Manufacturing,"Einhausen, Germany",1-10,https://www.linkedin.com/company/imaco-products-solutions-gmbh,"/ imaco is a company specialized in automation and industrial machinery, offering manufacturing solutions with a focus on engineering and production systems.",public company,""
Mazaka,mazaka.com.tr,Automation Machinery Manufacturing,"Ankara, Türkiye",11-50,https://www.linkedin.com/company/mazaka-endustriyel,"Mazaka is a supplier of industrial and electromechanical products, catering to various industries with high-quality materials and superior service quality.",privately held,""
Draw Tecnologia,drawtecnologia.com.br,Architecture and Planning,"Campinas, Brazil",1-10,https://www.linkedin.com/company/draw-tecnologia-automacao,Draw Tecnologia is a technology company that specializes in building the future of industries through engineering and automation.,,""
Robaxis Robotik,robaxis.com,Automation Machinery Manufacturing,"Nilüfer, Türkiye",1-10,https://www.linkedin.com/company/robaxis,"Robaxis Robotik is a company specializing in robotics applications and automation systems with over 15 years of industrial experience, dedicated to providing the best service.",partnership,""
CSW automation,csw-automation.be,Automation Machinery Manufacturing,"Herk-de-Stad, Belgium",1-10,https://www.linkedin.com/company/csw-automation,CSW automation is a robotics and system integration company that offers automation solutions to enhance production speed and create safer working environments.,public company,""
Key Industries LLC,keyindustriesllc.com,Motor Vehicle Manufacturing,"Knoxville, Tennessee, United States",11-50,https://www.linkedin.com/company/key-industries-llc,"Key Industries is an international trading and engineering company that specializes in providing spare parts for the automotive industry, with a focus on automation and robotics solutions.",privately held,""
KP Weld Oy,kpweld.fi,,,,,"KP Weld Oy is a metal fabrication company that specializes in custom parts manufacturing, ranging from hand welding to fully automated welding solutions.",,""
SALUMAX,salumax.com,,"Asunción, Paraguay",,https://www.linkedin.com/company/salumax-sa,SALUMAX is a manufacturing company specializing in automation and industrial equipment.,,""
Encetar Engenharia,encetar.com.br,Industrial Machinery Manufacturing,"Sorocaba, Brazil",11-50,https://www.linkedin.com/company/encetar-engenharia-ltda,"Encetar Engenharia Ltda is an engineering company that specializes in automation solutions for cargo handling equipment such as overhead cranes, hoists, monorails, column cranes, and gantry cranes in various configurations and applications.",partnership,""
Fanwinding Machine,fanwindingmachine.com,,,,,"Fanwinding Machine is a manufacturing company that specializes in producing Automatic Fan Winding Machines, Motor Type Fan Winding Machines, Manual Fan Winding Machines, and other related machinery.",,""
ZIMAX,zimax.com.br,Automation Machinery Manufacturing,"Rio de Janeiro, Brazil",1-10,https://www.linkedin.com/company/zimax-comercio-e-servicos-ltda,"ZIMAX is a Machinery Manufacturing company that represents manufacturers of machines and accessories for wire and cable factories, specializing in Automation Engineering.",partnership,""
Emerald Global Automation India,egai.in,Education Management,"Chennai, India",1001-5000,https://www.linkedin.com/company/emerald-global-automation-india,Emerald Global Automation India is an engineering services company that specializes in providing industrial automation solutions.,partnership,""
Vega Otomasyon,vegaotm.com,Automation Machinery Manufacturing,"Merkezefendi, Türkiye",1-10,https://www.linkedin.com/company/vega-otomasyon,Vega Otomasyon is a company that offers automation material sales as well as control engineering and system engineering services for the industrial sector.,partnership,""
"Welding & Metallurgical Equipment,",pwt-online.com,Aviation and Aerospace Component Manufacturing,"Auburn, California, United States",1-10,https://www.linkedin.com/company/precision-welding-technologies,"PWT is a Welding & Metallurgical Equipment company that provides automated GTAW, PAW, and EBW equipment, power supplies, wirefeeders, gas shields, maintenance, and circuit board repair services.",,""
Bibey Machine & Fabrication,bibeymachine.com,Machinery Manufacturing,"Greensboro, North Carolina, United States",51-200,https://www.linkedin.com/company/bibey-machine-fabrication-company,Bibey Machine & Fabrication is a machining and fabrication company that offers a wide range of services from small welding jobs to production runs.,self owned,""
"Shenyang BAIGE Robot Co., ltd.",berger-lahr.com,Software Development,"Shenyang, China",,https://www.linkedin.com/company/shenyang-baige-robot-co.-ltd.,"Shenyang BAIGE Robot Co., ltd is a company in the robotics industry that specializes in automation and industrial machinery.",,""
